"_defaultColorIndex","id","intrinsic-dimension","log-likelihood","name"
"1","smumtodm","139.26318359375","11398.9619140625","svhn_vs_svhn_test_enjamb"
"1","smumtodm","143.57568359375","10986.763671875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","64.140380859375","13173.353515625","svhn_vs_svhn_test_enjamb"
"1","smumtodm","64.936279296875","13130.095703125","svhn_vs_svhn_test_enjamb"
"1","smumtodm","61.27783203125","13416.2685546875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","61.722412109375","13428.818359375","svhn_vs_svhn_test_enjamb"
"1","smumtodm","92.602783203125","12127.91796875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","87.538818359375","12281.4326171875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","128.694580078125","11864.9912109375","svhn_vs_svhn_test_enjamb"
"1","smumtodm","124.143310546875","12020.376953125","svhn_vs_svhn_test_enjamb"
"1","smumtodm","90.5986328125","13168.5966796875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","80.909912109375","13174.4150390625","svhn_vs_svhn_test_enjamb"
"0","a6njhfm0","63.244384765625","11818.626953125","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","95.119873046875","12043.7314453125","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","118.554931640625","11515.2861328125","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","109.056396484375","11671.794921875","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","51.485107421875","13106.875","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","57.831298828125","12957.98046875","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","73.688232421875","11956.921875","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","96.475830078125","12059.3857421875","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","92.937255859375","12124.41796875","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","136.754638671875","11354.37109375","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","133.552490234375","11374.7763671875","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","63.619873046875","12291.599609375","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","59.0087890625","12513.796875","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","59.574951171875","13030.103515625","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","73.348876953125","12549.982421875","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","72.21142578125","12426.4990234375","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","96.228759765625","11951.638671875","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","110.49755859375","11609.54296875","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","155.399658203125","10409.0517578125","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","184.325927734375","10286.876953125","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","125.43994140625","11614.8984375","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","130.28662109375","11432.158203125","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","80.995849609375","12278.5048828125","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","83.122314453125","12422.1923828125","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","138.753662109375","11040.3759765625","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","132.66943359375","11151.572265625","cifar10_vs_svhn_test_interventionism"
"0","a6njhfm0","106.469482421875","11111.6591796875","cifar10_vs_svhn_test_interventionism"
